Year,Concrete.CO2 emissions[1],Emissions.CO2 emissions from Energy[1],Emissions.CO2 emissions from Food and Land Use[1],Emissions.N2O emissions from Food and Land Use[1],Emissions.N2O emissions from Other[1],Emissions.N2O emissions from Energy[1],Emissions.CH4 emissions from Energy[1],Emissions.CH4 emissions from Food and Land Use[1],Emissions.CH4 emissions from Other[1],Emissions.SO2 emissions from Energy[1],Emissions.SO2 emissions from Food and Land Use[1]
2008,1149.0348452120277,30926.47212843456,4880.509684073368,1727.59065,969.64075,7309.2559,146.6215026035154,139.55423548593095,65.42288714062613,118.84639744034652,2.043314366334037
2009,1182.0856639376639,30361.122977386327,5274.195063152023,1592.8550500000001,964.5684699999999,7328.8984,143.72601149199036,139.739691542481,66.1968846171966,109.39997579932039,2.043314366334037
2010,1263.1945011990726,32094.069638021207,5488.135590140459,1654.2586000000001,997.04561,7583.8862,147.41324191430772,140.20150334619305,67.69519536839765,105.69075091700824,2.043314366334037
2011,1358.8995658007693,33147.04610704977,5278.4821180280915,1734.65632,1003.27003,7749.8508,151.18954903723798,140.84521864195932,68.68485183162238,109.03829451923146,2.043314366334037
2012,1394.8198246764218,33606.628285899234,5652.124599523758,1801.8408,1018.7308499999999,7808.2482,152.5861438047352,144.02229347094143,69.72074186832309,105.9876873339555,2.043314366334037
2013,1454.6875995709158,33848.4083181184,5116.361824872823,1818.35315,1016.34856,7670.6684,151.14081615061488,144.51138746055665,70.78568922645393,101.4031700118286,2.043314366334037
2014,1502.5385317376922,33949.00234046718,5396.412768614652,1831.88079,1026.92452,7777.0567,151.04445260368405,144.98804871930855,71.9404446002077,96.665203460832,2.043314366334037
2015,1451.21574063764,33955.12551383196,5531.8122517838265,1823.45442,1029.47774,7826.3044,149.5463631662445,145.91957761858416,73.18802715325447,91.23651278377858,2.043314366334037
2016,1490.460086229895,33927.64075396468,4406.4328656947555,1833.15253,1026.03988,7873.0273,147.86405942581612,147.40060043011945,74.20568598796395,87.83277045958866,2.043314366334037
2017,1509.5544509366566,34481.81157247821,4231.194917448608,1861.47199,1031.92095,8048.4806,148.19758705240287,148.42713912433396,75.69395626420915,84.85462379521707,2.043314366334037
2018,1554.5749093509205,35177.35001406404,3844.874478798072,1890.53651,1045.75432,7940.3281,149.76263304760437,149.57918497820157,77.31504964667211,83.25884488450927,2.043314366334037
2019,1623.1864946831242,35482.60497296739,3786.898473860808,1900.7469999999998,1056.18822,7945.2123,148.9512674739758,149.63421108443885,78.59741459524409,81.43515157368248,2.043314366334037
2020,1638.337341244049,33489.621711090454,3439.13404797389,1885.7791000000002,1033.2718300000001,8110.8642,141.46331947925626,151.23544907182787,79.53048718276233,69.56333223934678,2.043314366334037
2021,1696.377634416537,35296.867650288776,3552.9242096630505,1984.03735,1059.80608,8086.6588,143.11656390975634,151.19949637860708,80.80077690347937,72.35997793262395,2.043314366334037
2022,1601.18886166564,35694.168880947196,3541.180610622195,1975.5784700000002,1071.13489,8204.3189,145.0669134480166,151.26674069606295,82.09584866465036,73.46696070966104,2.043314366334037
