Year,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes
2041,0.2608816625001908,1125.7519803631765,-0.0426797051924487,0.0
2042,0.2561912108509396,1112.4870880645317,-0.05558287274682115,0.0
2043,0.251655972176984,1099.4824628265346,-0.05703466754829395,0.0
2044,0.2472644735707254,1086.7356926025438,-0.04949311448387035,0.0
2045,0.2430068329377956,1074.2370883854885,-0.0252165298105573,0.0
2046,0.2388740192109171,1061.9752756321348,0.005123836906436899,0.0
2047,0.2348577097471648,1049.9388850842963,0.0311293939149467,0.0
2048,0.2309502258294119,1038.1170404697648,0.046180807463391954,0.0
2049,0.2271444808028203,1026.499475441407,0.03635508828530745,0.0
2050,0.2234339329411966,1015.0765376276738,0.007951346939605298,0.0
2051,0.21981254204745,1003.839159889224,-0.01781930371188195,0.0
2052,0.2163154723016489,992.1936174049092,-0.03416548081920955,0.0
2053,0.2129285464774861,980.585573252782,-0.04762021684633335,0.0
2054,0.2096443604052519,969.145152049783,-0.05108533067437035,0.0
2055,0.2064564936477913,957.9054527912436,-0.0384746290877992,0.0
2056,0.2033589659124685,946.8699106447044,-0.0150719451193674,0.0
2057,0.2003462130105742,936.0331390149612,-0.001742398451714,0.0
2058,0.1974130784715981,925.3873872805948,0.0007859764478518499,0.0
2059,0.1945547917881707,914.9245313901324,0.0045435592215613,0.0
2060,0.1917669414046631,904.636672296491,-0.00460485612129885,0.0
2061,0.1890454472871914,894.5163000078649,-0.024486798477369447,0.0
2062,0.1863977490549138,884.910403783291,-0.04110766606340105,0.0
2063,0.1838172218989521,875.5917664189133,-0.0512608479515058,0.0
2064,0.1812995414711641,866.4845326437098,-0.05489378205523815,0.0
2065,0.1788411045144989,857.5599647610762,-0.05265907291701765,0.0
2066,0.1764386797744623,848.8042643057308,-0.03515591430424015,0.0
2067,0.1740893051252691,840.208576824907,-0.0081011217234445,0.0
2068,0.1717902450363204,831.7658590468076,0.01173972881304685,0.0
2069,0.1695389659283464,823.4698801093153,0.01594391575787325,0.0
2070,0.1673331179303199,815.3148905127083,0.005181580445056649,0.0
2071,0.1651705195296373,807.2955018423546,-0.0139674763025822,0.0
2072,0.1630467128369418,798.823673992278,-0.030670974209707248,0.0
2073,0.1609638251857922,790.3095077476866,-0.040175171722817746,0.0
2074,0.1589209778339124,781.876331299693,-0.05014745764087495,0.0
2075,0.1569166701564091,773.5590336754888,-0.05847165247847625,0.0
2076,0.1549493163070428,765.3652273521617,-0.06329925029344695,0.0
2077,0.1530173820060968,757.2941910233975,-0.0625379844410251,0.0
2078,0.1511194190131278,749.3427557506184,-0.0504074104180567,0.0
2079,0.1492540704076606,741.5071348352635,-0.031775652003565955,0.0
2080,0.1474200672695275,733.7834882999969,-0.0152896790954998,0.0
2081,0.1456162230202224,726.1680913989367,-0.00760431756670345,0.0
2082,0.1438575829880789,719.7555711319609,-0.007265870626471001,0.0
2083,0.1421318906070757,713.7925823595021,-0.01501553648826505,0.0
2084,0.1404356942870789,708.0432172311125,-0.02556183895328205,0.0
2085,0.1387673783139692,702.4316437495303,-0.0397237516780216,0.0
2086,0.1371258226816188,696.9318660962789,-0.056521301417631356,0.0
2087,0.1355100877588742,691.5335496167934,-0.06298116212369904,0.0
2088,0.1339193249935799,686.2313716982707,-0.06262132320552839,0.0
2089,0.1323527472142702,681.0216838138657,-0.05343074021109555,0.0
2090,0.1308096167366662,675.9014565409396,-0.03122024977353415,0.0
2091,0.1292892392578711,670.8679409731708,-0.007148032775996599,0.0
2092,0.1277877876354314,666.0567199281292,0.0163177546224843,0.0
2093,0.1263085125863612,661.3748308407589,0.0240958648402708,0.0
2094,0.1248511720242423,656.7916579772315,0.0074817051908900485,0.0
2095,0.1234151699175621,652.2959397487721,-0.01248948106499535,0.0
2096,0.1219999164927592,647.8825031169388,-0.031658696539688,0.0
2097,0.1206048572374087,643.5481475332366,-0.045517530483924096,0.0
2098,0.1192294694369867,639.290358768113,-0.05232297003518635,0.0
2099,0.1178732581582039,635.1069023946983,-0.0508477743548073,0.0
2100,0.1165357534750146,630.9956921908014,-0.035142322560877896,0.0
2101,0.1152165083799237,626.954745042294,-0.0112683184873999,0.0
2102,0.1138993652430414,621.477155888907,0.0009403367659739,0.0
2103,0.1125967389551848,615.6036139132541,-0.00028516405675465005,0.0
2104,0.1113111535751392,609.6554752349501,-0.00637897089305985,0.0
2105,0.1100429912797584,603.73153683352,-0.0225755205840379,0.0
2106,0.1087920890679733,597.8614479867641,-0.039239570694711845,0.0
2107,0.1075581362167623,592.0533096384231,-0.050255828286479745,0.0
2108,0.1063407872257253,586.3085100511055,-0.05574889397449895,0.0
2109,0.1051396959098978,580.6263677837712,-0.05306580689990405,0.0
2110,0.1039545255814657,575.0055893350516,-0.03951255957794095,0.0
2111,0.1027849516900105,569.4447270475081,-0.0075511049011441,0.0
2112,0.1016306620734225,563.9423220266973,0.015040138103324899,0.0
2113,0.1004913564787723,558.4969475302161,0.0172639054607236,0.0
2114,0.0993667458902881,553.1072208891617,0.006087568445386549,0.0
2115,0.0982565518364173,547.7718055380793,-0.010000867047981449,0.0
2116,0.0971605057286884,542.489410010164,-0.024247453736705598,0.0
2117,0.0960783482462652,537.2587860769812,-0.0403730100763323,0.0
2118,0.0950098287676381,532.0787267209963,-0.0494780429094831,0.0
2119,0.0939547048470911,526.94806415299,-0.0529201305459444,0.0
2120,0.0929127417325914,521.865667934428,-0.04291177689999835,0.0
2121,0.0918837119216539,516.8304432166811,-0.017654556491176,0.0
2122,0.0908673947519226,511.8413290941371,0.01407662850397445,0.0
2123,0.0898635760234607,506.8972970640515,0.0210190602114918,0.0
2124,0.0888720476500018,501.99734958519593,0.01380142542125915,0.0
2125,0.0878926073366607,497.1405187276011,0.0026053336778853013,0.0
2126,0.0869250582818266,492.3258649062313,-0.0225300609157043,0.0
2127,0.0859692089011659,487.5524756920186,-0.040210333182660304,0.0
2128,0.0850248725718501,482.8194646942454,-0.0510171541052065,0.0
2129,0.0840918673952931,478.1259705087957,-0.0546139439904206,0.0
2130,0.083170015976835,473.4711557272667,-0.04339979818024415,0.0
