,Year,Concrete.CO2 Emissions[1],Emissions.CO2 Emissions from Energy[1],Emissions.CO2 Emissions from Food and Land Use[1],Emissions.N2O Emissions from Food and Land Use[1],Emissions.N2O Emissions from Other[1],Emissions.N2O Emissions from Energy[1],Emissions.CH4 Emissions from Energy[1],Emissions.CH4 Emissions from Food and Land Use[1],Emissions.CH4 Emissions from Other[1],Emissions.SO2 Emissions from Energy[1],Emissions.SO2 Emissions from Food and Land Use[1],Emissions.CO Emissions[1],Emissions.VOC Emissions[1],Emissions.NOx non AFOLU Emissions[1],Emissions.NOx AFOLU Emissions[1],Emissions.HFC134a eq Emissions[1]
20,2000,724.0289382979677,24787.564518540767,5297.4349311447295,1501.89037,934.21349,6507.1993,128.03577443510446,131.64583259239336,59.094684692586775,107.8005392250141,2.043314366334037,842.7544665751936,179.26423667199498,114.29980219739612,25.03682080659309,222.4172103969337
21,2001,757.388658381002,24949.95343525684,4765.437070070854,1497.18683,909.45045,6632.2187,129.09026393708416,131.48892512520322,59.85034308751342,108.48727653911808,2.043314366334037,838.9310055866888,179.77849428100183,113.82599711880238,26.3323757713374,234.42847261286863
22,2002,785.2469222249244,25492.693725889007,5128.325272881681,1494.13798,899.52098,6805.4893,126.68525581661426,131.9322192031502,60.66561733615477,107.3646523468404,2.043314366334037,925.4893371157916,201.4094146699653,113.96006723842756,28.10223003417872,254.63470913901
23,2003,863.608767150366,26807.00975415264,6075.929287218897,1540.2572300000002,922.36047,6891.2798,133.1945136427048,133.06876752814918,61.69593745492421,111.72819009760344,2.043314366334037,901.8129008548742,196.15258330349772,117.31008491564025,26.603476895862524,277.96439658475964
24,2004,902.631317012006,27731.042629140844,5404.208246605111,1633.28401,944.61097,7103.2562,138.96501354412922,134.50942565354674,62.79791721065486,117.09624062299476,2.043314366334037,898.4272180603557,197.2175629348899,121.55039020372335,28.003899192184665,303.54598713113614
25,2005,968.3315340646758,28647.27063602275,4891.181519395206,1692.46209,947.90154,7116.878,142.15216249324638,136.42898599952036,63.10876810282094,122.96461590194303,2.043314366334037,904.5100450326354,199.37781305941377,124.50956033650084,28.58431866447127,327.68305551209335
26,2006,1055.8777700574406,29573.76776548237,5332.36343593629,1715.6939,956.21624,7182.104,144.6218548268429,137.34439005515006,64.3474348517568,123.6192213700525,2.043314366334037,934.2631091247758,208.66600962306177,127.44546705129764,26.67426712198518,347.76481649979246
27,2007,1134.042189876785,30401.888245101112,4594.770148284447,1808.50047,980.96216,7403.7607,144.0249863622225,138.50094742624864,65.12903788114949,122.3831159605332,2.043314366334037,883.7487562651806,195.7246241026922,130.97788567836446,28.55163145928369,367.30134625150936
28,2008,1149.0348452120277,30926.47212843456,4880.509684073368,1727.59065,969.64075,7309.2559,146.6215026035154,139.55423548593097,65.42288714062613,118.84639744034652,2.043314366334037,825.5246956259103,187.4851730865759,131.25852046574676,24.76752099946843,384.34542711716296
29,2009,1182.085663937664,30361.122977386327,5274.195063152023,1592.85505,964.56847,7328.8984,143.72601149199036,139.739691542481,66.1968846171966,109.3999757993204,2.043314366334037,831.931253902116,189.76629505353264,123.0051623419394,24.604903801297887,395.7493552202854
